0,서울,용산,영등포,안양,수원,평택,천안,조치원,대전,옥천,영동,김천,구미,동대구,청도,삼량진,부산,팔당,양평,원주,봉양,제천,영주,안동,의성,영천,논산,이리,정읍,장성,송정리,영산포,목포,전주,임실,남원,구례구,순천,여수,청주,충주,부평,인천,송도,온양온천,예산,홍성,대천,장항,안성,수색,문산,청량리,성북,의정부,신탄리,청평,춘천,일영,상주,점촌,예천,문경,군산,춘양,철암,도계,북평,강릉,정선,쌍룡,석항,고한,부전,좌천,울산,경주,포항,진해,진영,마산,군북,진주,하동,광양,보성,화순,광주
서울,0,0,103,0,10642,184077,494803,304106,1051228,3875,0,203663,197140,1083459,20839,100073,1740543,0,0,1,0,752,6,9,0,3019,214699,263229,229510,52685,36564,85385,236955,118159,22704,78203,79920,147794,98243,22311,5757,0,0,0,85783,177670,203733,245183,207993,0,347887,2575540,24,6152,5069,0,240,0,157030,65,0,0,0,0,0,0,2,0,9,1,0,1,5,260,0,0,207608,2598,2492,4559,83261,1269,0,12647,8800,20101,1964,234532
용산,0,0,0,0,11460,128105,66856,29142,83889,5820,13530,15766,7287,59244,3590,13993,112235,50,600,82,33,0,0,0,114,0,25396,61530,121524,24713,59784,32498,0,0,19246,26419,19499,36371,14780,0,0,0,601,0,4960,9941,8177,6437,5578,0,2590,7275,125,0,134,0,732,338,443,0,2,0,0,423,0,0,0,0,0,0,0,0,0,0,0,380,4942,2290,2439,93,4224,42,561,0,0,161,0,121286
영등포,31,0,0,0,41976,487127,486498,229944,490285,8139,65963,89828,63614,244854,4823,26504,277234,0,0,0,0,328,0,0,0,0,120963,132361,129422,28034,37268,40626,0,46459,13557,32676,28949,55365,24392,14944,4482,0,473,0,92140,52511,143000,116052,113883,0,5710,23375,0,0,145,0,0,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,446,24718,10,7370,2452,1598,4857,383,82171
안양,0,0,0,0,1748,26503,7350,0,0,0,0,0,0,0,0,0,0,25,48,0,0,0,0,0,0,0,0,0,0,0,0,0,29815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,8680,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
수원,13516,7328,34214,2303,2015,322606,131754,134365,250680,3324,25932,49987,26339,168492,1233,10451,129720,0,0,0,0,3068,0,0,0,0,52671,77900,54189,7671,0,0,7900,25505,6351,12463,7901,22320,8188,5013,5522,94,118,112401,25927,71202,63439,52971,43256,0,2342,5501,0,0,0,0,0,0,175,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1635,372,37,165,14040,0,6138,376,0,1383,144,45941
평택,228705,138687,529054,32436,314471,74044,139176,34589,76053,2924,5911,7250,5074,27804,426,2807,23425,0,0,0,0,2167,0,0,0,0,10850,9365,0,1610,7535,4995,16138,2633,1055,2187,498,5122,0,1617,2781,14990,15725,30,27546,28700,27816,20680,18008,0,0,1008,200,0,3,5,0,74,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,246,0,0,0,16,0,0,0,0,0,0,4575
천안,566889,73065,274117,9318,132951,118570,145343,185635,266676,2291,16060,27824,21305,112940,115,8155,0,0,0,0,2,5004,4,0,0,51,30496,39694,21632,3292,13716,7638,15374,0,1272,6079,3209,0,7179,1272,5522,1465,1185,47,131376,208363,122914,122022,34297,39582,3,6,0,0,863,0,0,1073,0,7,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,606,0,7,0,12209,0,2989,2,0,2,0,19380
조치원,278671,34920,226980,0,108502,33538,198086,202147,614054,6080,14883,17551,21842,65823,527,5958,89212,0,0,6,2274,71562,0,450,0,0,22875,31563,20318,3677,14665,8578,46070,6768,759,0,3168,9772,7593,51072,43329,498,509,1,35,15,234,35,159,402,0,1,0,2,908,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,2,9,0,0,0,0,27,0,209,7754,36,2098,134,0,0,0,10974
대전,972253,74119,497292,3,249928,60338,315633,599918,363476,403221,262342,164860,115289,308751,3198,22481,373191,0,0,12,113,10,81,21,0,389,613797,164849,74747,10066,29736,1022,0,19597,2760,12000,8513,18300,17490,0,38,0,37,0,75,184,115,976,50,0,0,0,0,72,1309,548,0,203,0,1,116,6,0,10646,0,0,0,0,2215,0,0,0,0,0,0,1,10756,32,639,530,21586,130,6265,508,0,156,14,30693
옥천,6139,8170,16899,2,6974,4295,3587,4747,423515,228433,82943,5491,9592,18456,610,1068,6797,0,0,0,0,2,5,0,0,0,1965,55,0,2,4,0,0,1,0,6,0,0,0,5,0,10,8,0,0,6,1,3,0,0,0,0,0,0,0,0,0,937,0,12,155,2,2,19,0,1,0,0,0,0,0,0,0,0,0,0,3,8,0,0,52,0,50,0,0,0,0,0
영동,106126,9377,59839,0,29670,4510,15604,15765,269701,78360,50516,86617,37147,103573,739,6414,83437,0,0,0,0,7,84,0,0,0,103,29,10,9,2,0,0,2,0,16,0,5,0,101,91,9,21,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,159,132,14,28,19,0,0,0,0,0,0,0,0,0,0,0,0,26,42,18,9,5454,9,419,0,0,0,0,2
김천,187937,13439,90565,4,45719,5109,26513,17004,137601,13252,83338,155463,433201,294960,5882,10560,219324,0,1,2,0,201,21724,0,0,145,1662,11,73,0,3,2,3,4,0,1,1,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,865,0,0,0,0,179543,82205,16157,9161,1,0,1,0,1,3016,1,0,0,0,1462,0,0,3761,84,10,448,14673,63,980,0,0,1,0,8
구미,178783,10567,65447,8,32322,4255,22366,19992,128709,8867,39215,507718,684431,1599777,24813,20744,216362,0,0,6,0,6,23125,1,0,255,1587,209,39,4,4,1,0,6,0,0,0,0,14,894,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2813,0,0,910,0,28439,26535,10947,3027,0,0,45,0,3,885,1,0,90,2,607,1,3,1878,64,135,646,13679,506,2197,3,2,2,0,0
동대구,1126036,59837,216747,0,156855,19681,101193,60699,279441,14284,103935,336885,1731413,334,313353,408949,1752608,0,527,12826,0,20869,108661,75494,91435,401016,2806,1558,2143,301,827,81,301,454,0,20,0,815,21,0,0,0,0,0,0,0,0,103,0,0,1565,4072,1568,397,5751,3494,0,1518,0,56032,71974,50581,23425,140,2398,13572,2247,1893,31122,0,0,0,0,2510,2671,14340,119480,78714,1581,9177,39396,1932,5081,150,226,30,0,1131
청도,19963,5520,8122,5,3034,646,1209,1097,4744,685,14545,6800,28857,317939,145712,121235,446952,0,0,0,0,48,52,2,1,580,1858,60,92,10,18,4,1,5,0,1,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,293,13,0,0,0,0,0,0,317,0,0,0,0,1,3,9,973,8,2968,3954,29786,114,1053,22,6,2,0,41
삼량진,89880,12683,24397,43,12058,1811,8255,5990,24545,690,5229,0,15532,408748,114236,527565,2321834,0,0,0,0,14,0,0,0,93,822,253,299,1,11,17,599,0,0,0,0,2027,0,0,0,0,0,0,0,0,1,57,0,0,0,0,0,0,72,0,0,888,0,166,192,3,0,0,0,0,0,0,0,0,0,0,0,0,6,330,77,20,13725,58101,156158,5364,12335,1960,496,971,88,950
부산,1853906,92627,269778,31,145387,17877,162285,87585,393142,9383,101978,262436,220657,1863285,434976,1351283,70362,12,1597,24313,65,38892,59979,53375,18990,10354,979,2578,8827,2,2334,5100,34162,578,240,1,0,24137,24,3,112,0,124,0,0,0,0,500,0,0,0,8636,2810,0,4172,0,0,745,0,7064,8795,0,0,510,6265,16205,2202,5296,23865,0,0,2,0,18810,258346,131085,99130,12665,4932,69435,127918,58620,59640,30746,10951,39437,3732,19735
팔당,0,50,0,25,0,0,0,0,0,0,0,0,0,2,0,0,60,19098,26830,12115,321,2766,763,468,108,60,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,173991,0,306,0,0,0,0,7,0,3,0,0,8,97,0,1,0,83,82,387,293,49,436,115,90,2,0,0,0,0,0,0,0,0,0,0
양평,0,600,0,98,0,0,0,2,0,0,0,0,1,803,0,1,2028,24152,250624,157657,1312,11284,3550,2519,391,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,128,58,0,1080,0,0,0,0,0,0,0,0,120,618878,130,0,21,2,0,0,0,5,0,0,0,107,277,275,465,500,725,124,0,2706,307,221,1592,981,4,0,0,0,0,0,0,0,0,0,0
원주,432,43,0,0,0,0,1,363,0,0,0,0,0,16359,187,0,23754,11149,0,360873,8102,84528,37732,23160,3746,13512,2423,0,0,0,559,0,0,0,0,0,0,0,0,448,364,0,0,0,0,0,0,0,0,0,0,0,652867,0,1073,52,0,214,0,18,0,3,0,0,663,7991,8037,3795,7127,38182,3904,0,0,7087,1131,20023,9195,44,0,0,373,0,0,0,0,0,0,0
봉양,0,0,0,0,0,0,1,2757,1,0,0,5,4,216,0,0,1260,345,1314,7835,847,7543,3208,904,286,401,0,0,0,0,0,0,0,0,0,0,0,0,0,9305,37951,0,0,0,0,0,0,0,0,0,0,0,22787,0,0,1712,0,0,1939,0,12,2,0,0,29,276,3,5,0,645,237,1517,3179,1672,347,3908,1569,0,0,0,0,0,0,0,0,0,0,0
제천,279,0,120,0,2195,1513,4250,68806,605,0,0,188,11,30233,23,0,37155,2303,13585,68208,5253,54450,140466,63402,8100,22780,0,40,0,0,0,0,77,0,0,0,0,0,43,205038,195400,0,0,0,0,0,0,0,0,0,0,0,382847,0,0,0,0,72,0,352,591,306,2,0,1272,12290,5919,17153,10586,75533,14260,0,168098,16902,2846,32039,25743,1028,0,0,0,0,0,0,0,0,0,0
영주,0,0,0,0,0,0,0,143,95,2,4,24594,17498,70190,0,0,55657,655,4489,35570,2214,180861,184110,247716,19528,43043,0,0,0,0,0,0,0,0,0,0,0,0,0,92,170,0,0,0,0,0,0,0,0,0,0,0,366019,0,0,0,0,1023,0,14813,30498,243735,1356,0,165688,205205,26181,44718,54940,18,4,0,357,25902,1837,34081,31473,2763,0,0,0,0,0,0,0,0,0,0
안동,0,0,0,0,0,0,0,0,20,0,0,70,52,79874,0,1,50485,430,1713,25156,493,63400,248376,342547,98214,45486,782,1,0,0,0,0,0,143,0,0,0,0,0,58,15,20,75,0,0,0,0,0,0,0,0,0,282407,0,3118,0,0,480,0,38,26,136,0,0,4424,35563,4107,5353,10937,8,1,210,86,33573,3834,43930,39288,850,0,0,1,0,0,0,0,0,0,1117
의성,0,0,0,0,0,0,0,0,1,0,0,0,2,95851,1,0,15526,116,379,3390,155,9078,19627,109715,163262,93842,2188,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,44832,0,0,0,0,221,0,6,12,1,0,30,726,8164,1089,1804,2475,9,2,0,94,20614,2547,20278,37521,1553,0,1,881,0,0,0,0,0,0,0
영천,3817,12,0,0,1,0,0,2,427,13,9,539,783,376553,446,29,10111,4,404,6133,121,15573,33912,46549,104250,155905,864,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,230,13566,0,1405,131,0,516,0,6,22,0,1,0,1985,19319,2364,2716,5986,0,0,2,0,12437,4874,40090,94821,19058,0,0,1124,0,0,0,0,0,0,0
논산,184393,41289,119916,3,53207,8549,28276,23008,640358,13,22,47,4,9314,0,110,10595,0,0,767,0,46,0,131,0,0,250515,196482,49572,5396,29915,5735,17034,10216,1461,4751,2248,7220,6490,0,13,26,258,0,190,85,1,0,0,0,0,1,0,208,20177,0,0,19875,0,0,0,0,0,24383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,6,0,810,41,3,87,2,16096
이리,292909,52774,126644,7,65452,8434,32928,27478,154608,1,51,284,24,2197,0,304,3893,0,0,0,0,60,0,5,1,0,220633,742887,598938,29365,48386,0,55459,500038,53001,62233,21049,36434,26794,3,16,0,0,0,3240,0,953,0,51,0,0,0,0,350,869,1460,0,1600,0,0,0,0,0,740837,0,0,0,2,0,0,0,0,0,0,0,0,13,9,6,7,261,0,2550,3,0,87,7,27817
정주,227964,78158,139471,5,60285,9949,21320,16193,77585,1,1,83,34,2606,6,168,10560,0,0,0,0,0,0,0,0,0,52410,605854,670353,66647,65559,11522,40899,2669,30,0,39,482,139,0,2,0,0,0,943,0,0,0,0,0,0,0,0,0,1673,0,0,0,0,0,0,0,0,19969,0,0,0,0,0,0,0,0,12,0,0,0,19,10,2,0,0,0,0,0,0,796,82,21016
장성,56278,19163,37917,4,9504,1502,4015,3651,11685,10,32,71,51,459,5,11,92,0,0,0,0,0,0,1,0,0,4798,32729,70699,243731,120836,5647,15499,167,0,1,0,41,76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,11,8597
송정리,144168,75263,47072,2,22919,7019,9688,9753,28060,1,0,21,63,514,1,130,3349,0,0,141,0,1,0,0,30,33,17057,40659,63661,132558,369016,57917,185135,146,0,2,0,1363,1564,2,26,0,0,0,0,0,0,0,0,0,0,0,0,576,4658,0,0,1029,0,0,0,0,0,622,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18,759,12,112,15,13,4267,1777,66808
영산포,0,31197,45167,7,19236,4304,7579,9223,12035,0,0,1,2,22,0,122,6002,0,0,0,0,0,0,0,0,0,7430,14509,14561,5642,83793,39898,111610,5,0,0,0,946,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,822,0,0,540,0,0,2,0,0,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,976,26,73,25,17,2081,1536,77004
