,가산,건천,경산,경안,경주,고령,곡성,곤양,곤지암,광양,광주,구미,군위,금강,금산사,기흥,김제,김천,남구미,남안동,남양산,남원,남원주,남지,논산,다부,달성,담양,대동,대전,덕평,동광양,동광주,동대구,동서울,동수원,둔내,마성,매송,면온,목천,문막,물금,발안,백양사,부산,북대구,북대전,비봉,삼례,새말,서대구,서대전,서순천,서안동,서울,서전주,서청주,서평택,석곡,성산,속사,송광사,수원,순창,순천,승주,신탄진,안성,양산,양지,언양,여주,영동,영산,영주,영천,예천,오산,오창,옥곡,옥과,옥천,왜관,용인,울산,원주,월정,유성,음성,의성,이천,익산,일죽,장성,장평,전주,정읍,증평,진교,진부,진월,진천,창녕,창평,천안,청원,청주,추풍령,칠곡,칠서,칠원,태인,통도사,판암,포승,하동,해인사,현풍,화원,황간
가산,5942,3554,38914,11,27430,0,0,0,41,0,0,191,17992,6,0,18,3,185,254,154551,1561,0,3,0,36,27385,0,0,7635,221,5,0,0,80372,250,335,0,0,0,0,64,2,54,0,0,40076,232414,23,0,11,4,772539,37,0,69420,497,4,31,0,0,0,0,0,85,0,0,0,32,78,3753,0,4304,12,34,0,16213,11124,4669,76,4,0,0,74,1086,14,25846,5,1,67,15,57357,13,27,19,0,0,17,3,13,0,0,0,21,0,0,75,63,43,31,92909,0,0,3,2732,10,0,0,0,0,0,50
건천,2522,721,50167,195,57708,0,0,0,330,0,3,5490,218,56,16,248,18,2211,3880,718,3460,0,66,0,304,503,0,0,33813,2310,48,0,0,120037,2697,3387,1,51,0,1,1107,27,66,0,1,47684,39535,497,0,32,22,40241,237,0,1443,5276,21,369,0,0,0,1,0,986,0,0,0,500,763,6583,47,14502,102,544,0,415,21108,167,1168,125,0,0,974,6032,124,52325,73,5,768,193,491,257,354,234,1,1,95,37,228,0,0,0,135,0,0,1041,705,438,231,8636,0,0,16,7594,88,0,0,0,0,0,609
경산,35568,51127,5602,1260,380894,0,0,0,3310,0,17,60419,4770,718,61,1564,156,22754,69137,9057,7830,0,312,0,2661,6921,0,0,77383,20440,652,0,0,1195406,19298,29692,6,158,0,5,8687,227,348,0,7,148508,1087105,3497,0,187,126,985916,3476,0,11783,36799,179,3303,0,0,0,0,0,6234,0,0,0,3958,6293,19711,286,27278,569,4154,0,2894,158150,1042,9888,775,0,0,9383,130150,874,153569,412,103,6191,1557,7288,1408,2980,1868,7,3,1010,321,1963,0,18,0,1765,0,0,8548,4814,3124,2168,152321,0,0,149,17106,1033,0,0,0,0,0,5052
경안,24,190,1290,1126,3531,0,0,0,118636,0,20408,3508,16,133,407,400,858,6085,402,16,173,0,43302,0,6442,13,0,0,1366,21321,7187,0,0,2493,1767488,5822,1164,636,0,841,96,9667,11,0,944,5587,5580,9773,0,1691,18922,14552,5777,0,26,714,1242,38079,0,0,0,500,0,2158,0,0,0,11376,765,526,4407,373,17460,1429,0,0,1214,0,1014,8402,0,0,7027,1175,1517,2626,10730,11689,9168,38393,27,43817,11572,73225,1700,1085,13289,5168,19848,0,2890,0,16372,0,0,1578,7135,37,598,798,0,0,1982,269,403,0,0,0,0,0,795
경주,23985,80033,387602,4289,10004,0,0,0,8771,0,70,74000,2315,1211,233,8163,365,33874,62398,7055,60491,0,1211,0,5785,3623,0,0,1076043,62093,3708,0,0,1006392,60629,90170,68,995,0,18,36284,2644,1952,0,14,1215787,395268,18249,0,802,362,499853,5266,0,19279,133675,595,9235,0,0,0,6,0,31556,0,0,0,13232,21005,147084,728,185372,1630,10345,0,5010,180783,1836,27747,1254,0,0,20380,73762,3866,287030,1610,97,20621,3727,5495,4879,12702,4346,14,28,3587,758,4987,0,14,0,4898,0,0,29069,17265,8610,3913,73207,0,0,562,131379,2239,0,0,0,0,0,10761
고령,0,0,0,0,0,5238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51347,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,432,8602,0,0,0,0,0,160778,849,866107,0
곡성,0,0,0,0,0,0,544,23688,0,11234,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,5122,0,0,0,8261,608259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28034,0,0,0,0,0,19337,0,0,30538,0,96,40517,5738,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,16238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,7105,0,0,22363,0,0,0,0,0,0,0,0,0,0,0,1235,0,0,0,0
곤양,0,0,0,0,0,0,26366,4297,0,847306,0,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,14131,0,0,0,40440,603205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40148,0,0,0,0,0,11539,0,0,78661,0,255,648965,23434,0,0,0,0,0,0,0,0,0,0,0,0,0,191148,27769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852003,0,145987,0,0,10193,0,0,0,0,0,0,0,0,0,0,0,824103,0,0,0,0
곤지암,30,344,3513,119371,6643,0,0,0,2582,0,36734,7958,15,242,775,5030,1411,14964,1047,25,587,0,163811,0,11009,26,0,0,3066,36392,13000,0,0,4686,2281255,49691,3642,2049,0,1939,442,43192,232,0,1506,13490,10690,13239,0,2985,60709,31016,9695,0,18,6009,1988,94775,0,0,0,1685,0,17053,0,0,0,31959,3517,2490,8535,871,59916,2333,0,0,2723,1,6732,25141,0,0,13870,2780,9285,5214,46097,31051,11898,151444,29,126223,23485,253450,2768,3209,23112,9006,69829,0,9549,0,54407,0,0,5779,20396,277,1445,1997,0,0,3402,828,650,0,0,0,0,0,1872
광양,0,0,0,0,0,0,12500,860018,0,485,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,1452,0,0,0,386909,131561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15201,0,0,0,0,0,3080,0,0,20171,0,43,22936,5864,0,0,0,0,0,0,0,0,0,0,0,0,0,276006,5898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15448,0,361552,0,0,2610,0,0,0,0,0,0,0,0,0,0,0,128968,0,0,0,0
광주,12,2,17,21254,493,0,0,0,38987,0,943,1666,0,107,140653,17424,303557,1070,214,7,393,0,8425,0,163832,0,0,0,108,34305,3369,0,0,34,345247,354714,334,3249,0,207,25780,3593,259,0,361475,37,116,42523,0,92139,10397,1776,136927,0,41,757113,125722,33783,0,0,0,576,0,112089,0,0,0,28546,59514,2,6125,4,9251,1391,0,231,28,0,100466,4542,0,0,11030,59,9818,133,13302,8265,231475,11972,2,22179,141919,18903,947037,563,602000,721501,35576,0,1429,0,13226,0,0,65931,44967,25965,158,11,0,0,153756,7,527,0,0,0,0,0,684
구미,255,6074,65951,3962,80908,0,0,0,9144,0,1917,14351,153,3103,221,10380,553,301346,42332,637,2871,0,963,0,9155,287,0,0,16506,88213,1566,0,0,145770,50860,85396,52,1221,0,81,16357,970,82,0,108,55740,740012,12907,0,1016,1030,925259,9514,0,547,120565,721,23139,0,0,0,38,0,33716,0,0,0,13774,23563,5598,1475,7678,1881,20777,0,142,32714,25,38796,1896,0,0,30626,174071,3438,34426,1504,790,31140,4765,280,7415,13019,5177,277,45,5859,2722,5360,0,146,0,6816,0,0,30270,22614,10497,26054,89994,0,0,1112,4614,4193,0,0,0,0,0,43139
군위,19183,233,4404,18,2610,0,0,0,20,0,1,132,2301,10,0,10,3,141,81,20059,195,0,1,0,28,20575,0,0,1061,229,2,0,0,14593,297,359,0,4,0,0,60,2,4,0,0,3018,56862,27,0,9,4,157643,32,0,19174,629,3,41,0,0,0,0,0,104,0,0,0,37,49,379,4,395,7,21,0,5357,501,2294,92,1,0,0,93,647,5,1954,7,0,85,5,6460,16,37,11,0,0,16,3,6,0,0,0,7,0,0,94,35,16,12,47084,0,0,4,311,9,0,0,0,0,0,30
금강,1,42,686,140,918,0,0,0,246,0,105,3041,5,36881,7,145,5,4196,275,17,44,0,51,0,209,11,0,0,309,33250,18,0,0,827,1583,1627,2,14,0,1,576,12,2,0,3,982,1938,2613,0,24,35,4616,864,0,5,3102,11,959,0,0,0,0,0,709,0,0,0,2989,545,107,31,125,62,7414,0,0,412,0,546,154,0,0,14583,815,90,612,47,15,1987,137,11,123,150,156,11,1,98,35,553,0,2,0,233,0,0,806,2053,437,1297,295,0,0,32,108,2364,0,0,0,0,0,2427
금산사,1,23,66,471,194,0,0,0,980,0,147792,198,0,2,104,428,3510,211,21,3,2,0,123,0,7640,0,0,0,7,1055,54,0,0,70,7634,7635,4,89,0,1,614,80,0,0,11224,48,213,1279,0,12085,145,218,6340,0,0,14424,3372,785,0,0,0,5,0,2132,0,0,0,977,1318,7,96,24,131,82,0,0,66,0,2045,121,0,0,347,41,198,163,134,112,7489,288,3,484,9434,551,13806,4,19218,40343,794,0,16,0,277,0,0,1286,1163,436,27,36,0,0,4730,4,28,0,0,0,0,0,34
기흥,10,141,1083,541,3726,0,0,0,5135,0,12236,9694,4,69,192,2449,456,5018,2312,16,181,0,17534,0,2545,5,0,0,1555,13456,15736,0,0,1882,893,470189,480,26043,0,482,13733,6491,24,0,479,6631,3652,8986,0,976,9389,11550,2361,0,12,2150396,562,426,0,0,0,222,0,194745,0,0,0,11212,124174,590,29838,495,10878,917,0,1,1877,0,47135,269,0,0,4821,834,63552,3833,7315,5476,5501,10185,11,40722,8608,6317,1017,335,7634,2970,3385,0,1078,0,2648,0,0,128770,8454,34577,395,455,0,0,999,723,278,0,0,0,0,0,499
김제,0,12,317,928,403,0,0,0,1713,0,271951,605,1,11,3493,815,1063,486,58,7,3,0,296,0,12605,0,0,0,17,2264,151,0,0,194,14057,14741,7,110,0,2,1215,117,0,0,15569,76,527,2616,0,20626,348,370,13305,0,4,25906,7534,1819,0,0,0,8,0,5483,0,0,0,1707,3051,18,150,38,319,178,0,0,198,0,4519,243,0,0,851,87,578,219,360,198,13427,849,3,1171,13972,987,21354,8,27668,410111,2572,0,36,0,1062,0,0,3087,2988,1064,69,71,0,0,34386,7,37,0,0,0,0,0,86
김천,128,2632,23727,7670,34172,0,0,0,20256,0,1295,318168,117,4850,213,7698,562,4099,32753,410,1744,0,1507,0,9349,159,0,0,12654,149010,1536,0,0,40268,99421,112999,58,1213,0,27,22539,583,64,0,96,37258,162770,17320,0,1028,1328,207909,9448,0,242,212329,703,22344,0,0,0,57,0,37658,0,0,0,20227,29813,3619,1556,4304,2779,33906,0,43,15830,6,40723,2296,0,0,48236,30678,4547,19615,2688,957,30511,6208,203,6891,8893,8286,205,89,4642,2005,6501,0,258,0,7426,0,0,34817,31312,13328,24665,21496,0,0,886,3440,6554,0,0,0,0,0,51704
남구미,328,4315,66220,597,61195,0,0,0,1530,0,384,10444,99,402,34,3273,95,34471,6416,333,3272,0,153,0,1116,234,0,0,13736,12346,229,0,0,111526,8387,18614,10,144,0,6,3984,143,88,0,16,107869,447542,2445,0,176,130,918402,1322,0,297,19316,132,2655,0,0,0,4,0,5951,0,0,0,3761,3644,7969,406,9358,293,2318,0,71,26683,13,8279,285,0,0,4653,158872,600,75550,303,103,3970,733,173,1252,1866,627,56,5,938,517,788,0,19,0,1119,0,0,5725,2983,1660,2589,44757,0,0,170,6781,706,0,0,0,0,0,4020
남안동,142133,666,9217,12,6976,0,0,0,20,0,2,417,25025,10,2,24,11,379,287,1582,639,0,4,0,124,53382,0,0,4404,1067,0,0,0,36505,324,456,1,6,0,1,75,0,15,0,0,12215,206402,163,0,29,1,300156,104,0,77856,779,20,50,0,0,0,0,0,168,0,0,0,105,114,1292,6,1430,4,56,0,14300,1004,7143,113,5,0,0,235,1043,13,7945,3,1,253,6,38870,11,185,6,0,0,87,17,7,0,1,0,10,0,0,200,75,56,28,130484,0,0,15,950,33,0,0,0,0,0,136
남양산,1340,4608,9003,284,74746,0,0,0,829,0,5,3217,187,60,1,356,1,2313,3776,764,3471,0,110,0,549,168,0,0,2298972,3721,104,0,0,15592,4502,7801,2,68,0,1,1356,67,3500,0,0,702452,8788,477,0,5,43,6546,310,0,2059,9443,5,808,0,0,0,3,0,1735,0,0,0,813,1621,10911,107,43313,210,756,0,521,13816,187,1659,82,0,0,1117,3041,203,134661,159,13,1397,395,658,399,169,378,0,4,36,5,535,0,3,0,369,0,0,2197,1183,653,256,1877,0,0,5,62222,139,0,0,0,0,0,915
남원,0,0,0,0,0,0,855,5216,0,1939,0,0,0,0,0,0,0,0,0,0,0,3407,0,0,0,0,0,87979,0,0,0,1038,756874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1881,0,0,0,0,0,482,0,0,2035,0,133128,3966,498,0,0,0,0,0,0,0,0,0,0,0,0,0,852,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386,0,698,0,0,3871,0,0,0,0,0,0,0,0,0,0,0,1622,0,0,0,0
남원주,3,75,298,49359,1230,0,0,0,159669,0,8907,1108,5,65,163,17479,313,1409,116,0,71,0,7544,0,4087,5,0,0,625,16764,16810,0,0,664,980321,692493,16550,13643,0,4647,478,158040,1,0,288,2135,1505,7255,0,851,140582,5270,3712,0,3,461650,504,25589,0,0,0,3848,0,113554,0,0,0,8241,6834,260,54481,172,268004,592,0,1,276,0,28980,4100,0,0,3277,328,79245,1237,130307,63359,8085,7490,2,175839,6705,43726,5091,6610,6338,2515,4278,0,17700,0,6408,0,0,11039,3913,144,141,186,0,0,529,129,294,0,0,0,0,0,218
남지,0,0,0,0,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,7256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72099,0,0,0,0,0,0,12275,486518,0,0,0,0,0,2894,20873,136546,0
논산,19,359,3400,6101,5603,0,0,0,11136,0,195702,10009,15,272,8036,4315,14084,10153,803,118,258,0,3285,0,3607,34,0,0,1480,47011,1222,0,0,4470,71992,59904,91,851,0,22,7569,1149,4,0,10303,5416,9198,41682,0,41083,3367,16338,261909,0,78,125853,17799,18968,0,0,0,135,0,21072,0,0,0,28607,14140,1002,838,702,2764,6785,0,8,3333,1,18113,2513,0,0,16180,2101,2346,5470,3625,2830,244441,7085,74,8035,114310,7653,21614,116,173910,60578,20931,0,416,0,8861,0,0,18196,28798,8052,1366,1285,0,0,23212,480,1570,0,0,0,0,0,1680
다부,6926,605,7194,12,3734,0,0,0,31,0,0,193,14163,17,0,12,0,149,205,33934,191,0,10,0,17,4346,0,0,845,226,3,0,0,17830,218,247,0,1,0,1,29,1,4,0,0,2745,59865,25,0,3,2,217373,29,0,22885,425,2,20,0,0,0,0,0,81,0,0,0,37,68,555,5,695,6,30,0,5788,2227,1976,48,15,0,0,62,686,6,2285,3,2,61,13,22979,10,36,30,0,0,15,1,22,0,0,0,10,0,0,54,52,31,14,39656,0,0,2,245,20,0,0,0,0,0,35
달성,0,0,0,0,0,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1683,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,12,181,0,0,0,0,0,6122,66,1574065,0
담양,0,0,0,0,0,0,3099,12129,0,1259,0,0,0,0,0,0,0,0,0,0,0,86495,0,0,0,0,0,1310,0,0,0,1430,978390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8364,0,0,0,0,0,2327,0,0,3264,0,12241,11009,1340,0,0,0,0,0,0,0,0,0,0,0,0,0,730,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,441,0,0,3471,0,0,0,0,0,0,0,0,0,0,0,696,0,0,0,0
대동,6746,37890,80033,1600,1128890,0,0,0,5117,0,481,17751,1017,371,3,2917,20,13466,15444,4395,2312795,0,708,0,1625,807,0,0,6078,22140,927,0,0,104675,27075,36179,744,569,0,367,8584,437,108973,0,1,565148,44272,3181,0,29,1465,16685,1902,0,12026,62019,545,4861,0,0,0,407,0,11182,0,0,0,4004,7543,1377298,486,431377,1152,4283,0,3284,128393,1124,9110,1388,0,0,6497,11432,1179,1900988,1052,3862,7374,2237,3340,2518,464,2141,39,754,131,13,2503,0,1316,0,1752,0,0,10698,6895,3748,1695,8192,0,0,16,621103,994,0,0,0,0,0,4632
대전,139,2728,22855,23237,59502,0,0,0,38171,0,49175,96451,187,45870,1448,20872,3242,156621,10481,969,2784,0,17474,0,61576,180,0,0,19078,42988,4819,0,0,38052,278730,276948,538,6028,0,353,210992,4302,314,0,1763,82759,95782,96241,0,8736,20344,226873,97807,0,749,653260,4674,214590,0,0,0,459,0,102257,0,0,0,145082,108753,7108,7762,5877,11464,131735,0,44,31251,12,93844,35719,0,0,900595,18917,11542,48089,19670,12978,84254,36386,417,34178,67656,36646,3387,607,56997,12927,180246,0,2622,0,62040,0,0,332999,370083,113398,21387,14262,0,0,5052,5262,20665,0,0,0,0,0,65701
덕평,4,43,754,6589,1376,0,0,0,9805,0,4192,1770,3,28,69,12645,160,1464,203,7,103,0,15693,0,1403,11,0,0,804,5462,688,0,0,694,91916,300239,515,9515,0,271,446,6158,3,0,118,1762,1419,2901,0,344,8140,3610,1738,0,3,228380,226,12276,0,0,0,292,0,75201,0,0,0,4105,5697,180,12995,95,16613,275,0,0,276,0,14817,2895,0,0,1790,290,39714,712,6836,3602,2000,12178,4,37102,2837,19492,269,486,2055,892,5221,0,1156,0,4799,0,0,7806,2708,229,90,226,0,0,604,140,111,0,0,0,0,0,170
동광양,0,0,0,0,0,0,8804,44813,0,368436,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,1294,0,0,0,1618,138575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89066,0,0,0,0,0,2525,0,0,29222,0,39,392670,9210,0,0,0,0,0,0,0,0,0,0,0,0,0,3451,8071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2294,0,4766,0,0,2985,0,0,0,0,0,0,0,0,0,0,0,8672,0,0,0,0
동광주,0,0,0,0,0,0,611360,579121,0,128902,0,0,0,0,0,0,0,0,0,0,0,763873,0,0,0,0,0,976331,0,0,0,163430,7011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706629,0,0,0,0,0,260276,0,0,213648,0,275950,1055332,91361,0,0,0,0,0,0,0,0,0,0,0,0,0,56889,829449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5216,0,56708,0,0,167154,0,0,0,0,0,0,0,0,0,0,0,43915,0,0,0,0
동대구,83380,129668,1065051,2727,1041618,0,0,0,5852,0,57,148958,16496,990,91,3002,153,46387,133186,44257,12460,0,703,0,4794,16928,0,0,102318,38506,539,0,0,1893,37566,41012,34,534,0,13,8037,344,638,0,6,302056,445610,6981,0,318,627,1208605,4379,0,36683,80787,212,5881,0,0,0,13,0,13589,0,0,0,6377,9198,31399,661,49263,1525,6657,0,8266,466571,3253,11695,807,0,0,12898,267400,1458,320796,1039,217,13512,2349,31832,3129,4183,2932,11,15,1395,385,2440,0,53,0,2403,0,0,13653,9285,4928,5652,268365,0,0,246,25968,1722,0,0,0,0,0,9233
동서울,194,2991,19518,2010194,49720,0,0,0,2275222,0,335765,49817,283,1761,7338,1606,14292,92689,6181,292,2655,0,955542,0,76121,200,0,0,19439,283287,102146,0,0,34156,2305,23798,27244,18584,0,23781,743,208538,137,0,13222,98823,72007,134373,0,24685,490117,199124,66811,0,210,7499,18611,564409,0,0,0,11546,0,15463,0,0,0,127769,4723,6945,71221,6007,395981,20421,0,8,20952,4,5061,119226,0,0,96986,14958,44753,36040,246735,262057,109319,739680,504,862049,172056,1066901,25955,21707,204971,93094,361071,0,54366,0,215868,0,0,10047,91716,330,7299,11257,0,0,31949,4457,4625,0,0,0,0,0,12226
동수원,293,4297,32631,6070,76918,0,0,0,42276,0,401974,101218,305,1947,9244,536240,16602,126653,16231,478,6155,0,687204,0,70658,323,0,0,39460,291834,327513,0,0,40673,15012,9793,17252,499532,0,11803,156559,188939,785,0,14134,158792,82622,116644,0,24974,388515,337074,70094,0,364,1640064,20535,90346,0,0,0,11502,0,719965,0,0,0,190085,628934,16766,859692,11388,360769,28058,0,10,34351,4,513490,34370,0,0,139558,21729,1225491,72446,260188,231543,103094,351672,594,852973,220900,351114,34284,15801,212558,106843,188838,0,52348,0,107249,0,0,803520,149732,455969,11001,15504,0,0,35812,11416,5089,0,0,0,0,0,16378
둔내,0,2,19,1277,58,0,0,0,3371,0,380,46,0,8,8,283,16,42,7,0,2,0,16209,0,74,0,0,0,35,424,578,0,0,32,25367,14820,1949,525,0,9958,16,4943,0,0,6,74,88,303,0,27,44477,210,83,0,0,19534,44,854,0,0,0,3867,0,3066,0,0,0,645,241,9,1705,7,4965,15,0,0,13,0,421,189,0,0,59,21,2132,63,51510,23142,203,227,0,5788,156,1634,18,9640,138,104,167,0,10621,0,211,0,0,391,120,8,5,15,0,0,25,1,25,0,0,0,0,0,5
마성,4,65,272,1033,1141,0,0,0,1799,0,4741,1722,3,41,93,17833,117,1654,141,7,102,0,13862,0,1046,3,0,0,890,7444,8216,0,0,711,10923,450070,475,1848,0,446,2882,3160,1,0,104,2486,1991,5549,0,775,7571,4324,1453,0,3,637713,494,8349,0,0,0,132,0,219239,0,0,0,4046,16281,117,16733,217,7501,284,0,0,318,0,24938,3038,0,0,1247,239,13041,976,4186,4251,3136,4749,4,22011,4777,4886,197,154,4855,768,3264,0,635,0,1611,0,0,31343,2027,4825,163,291,0,0,287,138,111,0,0,0,0,0,134
매송,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11682,0,0,0,0,2915949,0,0,0,0,822917,0,0,0,0,0,0,0,0,0,1710602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4545406,0,0,0,0,0
면온,0,1,3,816,11,0,0,0,1895,0,148,51,0,0,2,253,3,30,2,0,1,0,4268,0,38,0,0,0,9,305,311,0,0,18,19396,9900,11005,594,0,354,7,2424,0,0,1,44,46,224,0,12,12194,89,61,0,0,16894,9,872,0,0,0,4744,0,2299,0,0,0,174,105,2,893,2,2229,6,0,0,11,0,190,135,0,0,37,3,1502,11,12590,25955,107,67,0,2951,84,597,8,14580,77,52,58,0,12739,0,91,0,0,613,165,0,1,9,0,0,9,2,6,0,0,0,0,0,5
목천,59,1300,9829,117,45975,0,0,0,430,0,29020,19289,68,677,623,21527,1350,26034,3797,95,1371,0,627,0,7256,32,0,0,8308,203233,438,0,0,8547,835,155674,16,2842,0,15,314,207,123,0,1296,28397,18870,59363,0,3141,686,69839,18053,0,101,303513,1913,28,0,0,0,18,0,61115,0,0,0,120151,105186,3292,1056,3890,519,5718,0,6,9679,1,103495,4,0,0,43430,4964,4401,19909,515,514,35071,62,96,852,21718,48,2392,22,19220,6908,24,0,83,0,12,0,0,192052,69039,188129,3034,3099,0,0,2142,3592,3939,0,0,0,0,0,3569
문막,2,50,179,11643,1650,0,0,0,44136,0,2993,807,4,23,80,6406,142,583,65,2,44,0,149388,0,1238,1,0,0,283,4210,6960,0,0,308,210623,191975,4177,3637,0,1767,159,1548,3,0,90,1127,1015,1935,0,305,52731,2092,1395,0,0,118146,154,8539,0,0,0,1505,0,35032,0,0,0,3635,2787,104,22443,166,112018,171,0,0,359,0,7486,1512,0,0,1650,119,21274,754,100887,17987,1843,4839,1,67209,2894,22473,319,2197,2311,839,2591,0,5896,0,3432,0,0,3240,2078,66,58,82,0,0,217,93,141,0,0,0,0,0,88
물금,43,70,280,3,1494,0,0,0,225,0,0,59,3,0,1,15,0,78,75,22,10114,0,0,0,0,5,0,0,64462,175,1,0,0,639,87,713,0,2,0,0,66,0,239,0,0,20157,1174,6,0,0,0,214,4,0,23,232,0,11,0,0,0,0,0,33,0,0,0,296,24,9346,0,1661,1,10,0,24,199,6,53,2,0,0,19,431,7,4512,3,0,24,11,7,7,3,5,0,0,2,0,8,0,0,0,6,0,0,157,120,13,8,27,0,0,0,2911,9,0,0,0,0,0,20
발안,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2953577,0,0,0,0,2107,0,0,0,0,74394,0,0,0,0,0,0,0,0,0,58881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94824,0,0,0,0,0
백양사,1,3,1,1071,5,0,0,0,1798,0,295068,83,1,4,11646,918,17012,71,5,0,0,0,359,0,9559,0,0,0,0,1227,128,0,0,5,14496,13736,13,94,0,3,1397,132,0,0,117,3,16,2200,0,6054,294,15,8028,0,1,27984,6848,1295,0,0,0,2,0,4335,0,0,0,1073,2940,0,200,0,343,71,0,0,5,0,3820,194,0,0,449,7,596,8,343,217,9452,536,1,812,9575,994,34068,9,25185,69403,1368,0,32,0,608,0,0,2557,1985,823,14,2,0,0,13418,0,39,0,0,0,0,0,27
