"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gurye","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Imsil","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",134729,6663,583,6,5,26,34047,11,11695,3933,137,359898,32,19059,6492,117,10,1193950,1097,741,128,62150,374,68034,1140,326,4778,2005,4033,36,492,9520,16,186,30,31,22,16091,168,609,7526,16,58277,82,11242,10190,8898,37227,30879,33,1506,44670,4,1162,2043,7077,8482,6,5705,144,50,301,214,77980,107,862,261,32,4569,16905,25,43,8,0,2377,3498,79,61,2459,15014,4468,446,3206,549,51,29,6,91,203417,20645,313,1644,554,29730,1091,50209,1156,62761,284,35388,2632,32219,11697,9355,94,135,96224,43,6821,21803
"Ansan",6918,395159,124230,3646,28324,8436,26990,3815,5745,3478,110786,7894,36834,689,718,86870,1099,55517,70635,1006,163305,5676,15548,237,288922,90902,23607,5,409,3962,9086,11325,4366,5425,9607,549,19620,3406,671,26035,641570,42640,142,928,3201,45307,6848,21030,5606,1138,666,20585,2510,5857,89,19043,1702,19933,467760,7557,2022,1021,4332,31893,2848,10500,441,31975,3552,3593,21687,2566,6943,154,1074,6,9118,3774,65075,10304,17332,304727,2206,1428,35515,4804,13924,59099,6627274,7039475,194,4241,3133,730404,2462,23143,5347,70751,2,11965,7259,255,55222,6860,1494,3774,11824,22969,138559,675791
"Anseong",701,131567,571377,19990,47755,6379,29401,10761,7813,3245,928520,11044,993,13309,1642,667513,3792,74149,463983,2623,246215,812,14546,32,29437,308495,28922,12,1120,19430,19956,11890,7980,4382,334,559,87186,2873,2877,41202,64821,26241,12,5308,278568,103969,39461,19698,8076,12719,2823,21575,1279,13918,270,23840,14253,34184,936910,52799,12135,4312,8754,3605,24459,69034,2466,504463,13976,6777,19011,10920,226,30,5514,9,48720,17626,1086208,11215,21667,1046911,8714,7292,20189,18319,12104,91571,4147831,363676,1063,16317,3164,428187,8920,24080,35864,85591,2,16981,11038,35,83881,6811,4939,3067,1093,20876,231799,783978
"Boeun",12,3661,22212,73607,252,38,6820,421,2030,1085,59470,2736,785,670,511,657606,353,29969,130639,75,1048,7,279,2,508,6221,663,0,111,687,2592,3359,369,27,781,20,1021,1067,52,19387,1693,580,5,144,7596,4202,1613,5569,2011,1629,67,7512,10,142,71,423,522,33,19255,3054,317,101,286,52,1986,3671,46,9758,419,2063,197,245,1207,1,131,1,2354,429,17840,4714,391,18428,231,103,85158,1122,430,914,117240,16167,30,563,3170,9785,268,8769,2647,1583,0,4794,349,0,2150,2166,61,35,3,2035,4168,15665
"Boryeong",9,26713,48179,242,322211,29503,206,8457,47,22,1620,173,73,221,28,5752,635,2734,41402,2220,102485,66,427,6,22032,7660,690,1,5,504,651,107,17807,12244,8,1235,7640,10,9,1265,13720,446196,1,37,484,57580,748,371,127,177,360,149,3848,9,0,318,298,174163,171795,15,7,2,3816,310,14,32,1,4240,39,73,31153,130,8,170,76,2,92,682,5405,474,398,210219,112,7,474,24123,273095,164663,468090,100281,92,6828,69,19259,58,631,14,1513,0,71,296,0,1074,117,207,5836,51,2138,1868,7523
"Buan",40,8315,6707,29,31176,27346,3212,9444,297,1183,16757,32,1,42,10,1368,1943,2161,3484,9997,10138,6,33,3,1350,172,62,0,188,16,47,4150,30282,87644,0,5947,15392,265,294,112,3186,106850,7,1194,113,245618,4290,208,74,11,1411,4249,20183,307,116,26,36,12229,40093,23,78,128,19409,18,93,351,3,163,1496,13,78045,10,3,667,4783,0,11,30,8017,285,34,21456,1552,513,181,9092,18103,12296,150736,29644,1144,23721,22,4889,1428,109,53,157,0,0,33,1,154,111,12,38318,1,2950,223,7446
"Busan",12667,19901,21030,3072,112,3020,11905629,231,246821,2094746,58835,41468,15993,2846,82950,52590,431,1689031,91987,9638,12220,4250,15,3026,4005,14966,367,80,36203,15976,45715,6892133,2224,4673,16873,10142,4121,25103,4216,55059,4644,120,1660,2566,25999,163873,397129,1653092,56961,1700,176314,571933,33,31995,10371,1228,1648,43,32643,32926,1216,6427,4814,5531,7584,124618,4672,6407,424627,489500,103,14204,5409,0,17557,69,7747,4424,18452,523,936,34837,303971,60574,24050,3660,71,8524,194771,39859,1523,91012,28117,17595,2589,7172831,82003,5771,10,5787540,384,859,12595,156410,4543,2968,8192,8254,20165,28043
"Buyeo",9,3788,11495,398,9773,9417,536,37471,141,17,31164,473,4,70,44,5345,14402,5133,100005,471,10473,7,49,8,328,441,88,0,1,620,1127,87,3760,4324,6,170,69225,75,8,2043,1338,82346,2,7,245,15809,88,1019,306,131,16,102,1326,8,2,66,77,983,18963,44,9,3,884,34,20,62,1,481,22,222,8766,237,38,49,8,0,112,1483,14436,1262,62,11508,5,10,1478,66014,56495,4335,108024,14815,5,493,124,6474,5,1355,29,398,0,358,70,0,213,549,324,2096,0,15667,430,13011
"Changnyeong",9830,6519,6988,1301,23,252,235408,158,192510,140783,16959,26332,5904,1379,58,16771,194,714113,25744,761,2993,2744,29,3600,379,5576,536,12,28347,770,27104,293209,149,429,4295,544,870,30534,1164,31616,1769,18,2493,139,4777,8538,30302,7208,14629,460,17455,959983,5,3587,10267,531,774,17,7192,1864,69,478,422,2641,803,21573,603,1772,81958,42,14,565,2212,0,1989,14,757,1622,5660,22538,574,7590,35500,5695,13474,1485,32,1974,67578,11286,216,7837,30501,7672,3728,437,5111,2022,3,50,316,452,5051,14014,2532,192,5712,2607,4728,7555
"Changwon",6159,4200,4515,1288,26,1250,1956923,14,200915,3512866,15508,14285,4462,1506,15,12456,82,204343,23526,4682,3829,1967,35,2061,498,2799,553,24,20719,2795,15216,4211952,726,1825,3329,4406,820,13770,3579,23984,1530,31,1098,1083,3720,59733,153446,275,1407,435,76795,755331,15,16131,7032,455,1024,15,6436,10434,599,2520,2259,2674,3076,83830,2450,1404,296440,33,30,4989,1832,0,7922,6,3051,1579,4923,1747,630,6263,162577,37513,8160,1465,5,6280,51717,9648,858,38742,13842,5729,4321,345,24523,2516,0,243,409,501,3567,1515,1257,1177,3760,2516,2761,6190
"Cheonan",125,114257,999696,54823,1764,15864,94977,30981,18875,11323,771862,30449,484,2340,3677,983405,11060,234608,1615914,5458,7782,537,4609,45,22611,29230,9194,6,2175,48694,53210,30884,16655,11003,151,1346,259114,9322,5194,148323,43903,66666,40,13456,6333,213717,97571,82803,24539,12416,5828,75085,2768,15415,626,4409,3122,985,994005,111098,29512,6054,16043,2876,41943,153626,5936,15298,25607,19482,43693,24800,726,56,11793,5,120504,47566,982584,35467,8076,562297,16233,10742,95322,51689,19418,6914,3534352,433871,2620,39512,11497,313264,18322,90941,78524,16940,0,48819,4715,8,12827,26621,13604,7269,341,2911,22669,759121
"Chilgok",393281,5572,8696,1921,156,32,91445,397,33264,10534,25210,57560,7019,8663,25550,24758,328,5481372,37815,878,3544,34996,453,142366,519,5002,4198,225,8405,1294,27466,28810,307,156,5728,39,1689,40584,229,379311,4270,285,116306,93,5144,12222,12252,163053,321129,866,2253,79667,7,1825,3667,2905,5067,10,8263,4990,56,495,946,33797,710,6692,324,2445,6663,45383,31,77,4990,0,2992,135,3178,3934,8044,186826,4381,13563,6044,848,37457,1720,538,5080,57553,10744,379,1921,1172,7516,1596,169456,1620,15319,7,85415,2212,12005,4499,206861,7304,139,126453,4580,6323,7736
"Choongju",19,34409,1176,665,73,2,26976,6,7886,3629,359,8311,100234,2320,943,441,3,68536,956,15,192,70,1404,1,6684,60273,3644,17,569,19,10335,12446,6,4,46108,4,19,3478,68,33027,34191,24,4,15,78693,332,1118,13459,9190,13,327,18440,3,92,274,1514,1503,55,21534,71,9,19,17,203,62,305,4,117,1595,5350,15,19,27029,0,129,9,49,30,5989,9639,1713,651,835,90,109116,11,17,132,717347,83717,11,146,3739,129902,371,25110,58,5473,0,13092,1637,2,99367,5533,555,2,41,47,59325,104128
"Chuncheon",30237,703,12262,598,239,31,8252,65,1664,908,1683,8450,2502,1915464,654,27324,14,56462,39603,100,428,19697,17101,4192,112,15029,33234,135875,320,874,1389,2137,209,18,1780,24,194,1265,75,2953,659,167,3758,194,631,6010,1857,8217,2149,1382,329,9453,11,355,123,722880,3979674,159,1173,2398,338,282,508,190184,1034,3759,111,5601,1475,3648,181,583,866,1,298,218974,1951,863,1109,6858,22084,857,869,282,3721,239,68,357,2705475,1396,36,655,324,4233,709,13365,1679,826452,43955,8377,3363,3616,31313,2320,241,26,35700,93,27823,22543
"Chungdo",4,1,1,0,0,0,74487,0,2,6,5,22,4,0,2178,3,0,683726,11,0,0,1,0,0,0,1,0,0,1,0,1,15190,0,0,1,0,1,1,0,13,0,1,0,0,1,0,1,17431,94,0,1,3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,313599,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,34,6,0,1,0,1,0,46367,0,0,0,117458,0,0,0,925,1,0,2,0,0,2
"Chungju",156,87869,662649,641923,6124,1185,88252,5626,17777,9530,1026928,30187,748,28358,3645,3703900,3819,266066,4392141,4822,35414,845,14142,39,14858,454584,36071,18,2718,117901,73038,36412,13419,741,498,802,10618,9118,4967,173252,30537,16013,59,6201,252312,197930,61133,61459,20849,72245,5330,64589,379,21461,1360,17381,20685,2002,409043,150238,16375,10954,18827,3050,73797,157969,5236,652204,33113,19000,7064,42226,1629,6,9053,18,88547,281113,384982,44055,22594,376721,18819,13256,259491,14433,7754,16957,2652908,293748,1222,21056,12109,221138,22385,82369,80965,80752,1,49031,16921,5,93108,21511,57574,1025,228,15941,307567,370532
"Chungyang",14,1143,3605,345,1013,1523,748,13830,177,91,9997,381,4,26,62,3794,31,5655,131324,60,4260,3,23,8,111,532,31,0,1,1555,1245,220,606,568,2,25,28929,78,12,2238,436,14117,5,15,66,2235,119,965,302,388,8,385,169,29,1,26,29,44,5838,135,33,10,258,19,49,186,7,197,45,309,1755,767,27,8,12,0,331,1849,4637,1169,25,3588,31,30,1087,46389,8541,2380,33718,4060,3,97,163,2083,55,1779,93,93,0,488,22,0,94,292,439,318,2,7180,103,4168
"Daegu",1269904,77651,110004,33758,3093,2030,861255,5772,755216,143800,343875,5936278,109890,73620,520189,373371,7245,24669950,739793,15208,51729,121159,937,719664,9090,85356,22740,2182,466885,13083,617000,324621,3079,5786,101728,607,27080,2010997,4655,5050715,47045,3219,606433,1651,112929,204058,171858,1863979,4267608,20661,49646,1251657,67,57291,289352,25008,41101,511,154214,41151,1141,12111,8777,152811,10728,57268,8797,31429,136315,888077,429,5418,85781,0,67301,1150,35234,44006,135270,2903142,34716,133360,109672,22964,618631,39212,3976,50863,1608518,212041,8849,33777,212597,168620,28343,1328872,80082,113011,98,763897,14641,54395,120377,3441917,91990,2701,463693,63959,88800,202176
"Daejeon",975,66935,471168,128538,42142,2476,153546,102600,28882,17017,1637051,42461,846,40338,6916,4434249,133960,558430,10440458,9573,271076,886,15734,456,9820,155588,38400,14,6744,1258253,252808,52557,45999,1790,653,1970,562827,12720,15023,284171,33610,49826,289,17568,141321,476458,130565,116676,38008,510231,14102,142870,918,69862,1827,18446,25982,3787,405781,587419,45969,49058,42262,4331,194910,714304,19381,227507,94759,30625,15485,540965,3012,8,24829,18,722061,1206715,370068,107737,25973,277803,61833,37717,185343,743349,98500,279771,2715150,286968,3537,49737,17300,190344,73103,142030,331369,86591,1,86718,17166,16,80298,43063,337627,2772,181,789526,147090,398498
"Damyang",695,1014,3047,61,2631,10649,7346,558,663,3153,6203,763,15,143,51,4533,154,16330,10589,29241,1812,110,49,162,101,526,149,0,2795,198,406,10707,5596,16510,6,98255,2833,1760,570,1121,312,9647,74,9428,576,1160369,21149,1435,761,735,3907,9778,196,3401,949,163,86,1124,5086,2244,2480,5956,12252,53,9897,8326,61,566,4937,9,1391,687,30,4,40015,0,4955,104,2915,2289,80,2920,3573,1709,346,443,1061,1849,28050,4569,11538,123024,653,1339,2925,308,7749,487,0,6,61,19,1111,859,22,6768,340,782,833,2683
"Dangjin",149,175896,201400,1139,93601,8165,27141,9111,3331,3646,9110,6628,219,527,430,34059,3647,50789,279527,1666,562014,166,2406,25,69074,49177,2200,2,213,4952,10120,8819,5031,4885,40,848,71870,809,855,16713,55236,77302,23,1468,1543,62215,11205,21623,8267,2396,554,15639,2323,1602,55,1204,701,67572,917979,12099,3229,332,3747,1019,4510,17517,648,39392,3082,3844,21273,2681,52,111,1113,1,22082,4494,19710,36531,1316,1353921,2084,1205,2967,83093,27916,202555,1590465,630931,301,6242,1475,57540,1760,24397,8534,4874,0,8427,745,7,3684,15434,1712,3024,269,156387,4996,23593
"Danyang",78024,5739,732,8,85,5,13948,5,3679,1765,357,35939,48,12967,1196,701,0,97608,928,130,200,35530,761,8381,953,401,4486,1018,988,19,44,4012,10,8,11,21,28,3153,62,98,6375,32,26220,28,8964,1636,17844,11651,3738,22,5081,19078,2,303,267,6834,7733,59,5147,124,11,91,27,205030,39,401,15,135,1955,6717,10,8,1,0,631,2132,58,15,2129,7943,2744,786,1367,194,3,12,9,156,115568,16942,81,869,639,22299,425,34870,112,96561,200,14100,2271,11538,13104,3014,8,10,265850,69,6736,17188
"Donghae",296,14139,11322,208,449,36,74,54,31,13,3521,388,1172,8537,2,12310,19,688,13797,39,2619,642,84371,46,2530,6099,1422444,808,10,299,117,17,129,20,711,5,247,23,4,264,14335,381,49,37,19933,2668,454,33,23,563,13,198,12,40,3,112714,1450,188,12082,1288,105,51,254,3609,872,1884,40,3408,58,21,176,149,141,0,54,1920,772,253,5744,31,132578,4803,37,21,407,122,83,902,297285,43456,9,158,28,50187,21,158,852,138931,142,47,272545,90,24627,7,100,27,403,259,19092,48713
"Euisung",59256,204,32,7,1,6,8302,16,4142,1452,76,121477,5,3686,2372,56,13,676024,595,142,24,8316,39,99,44,15,486,170,1519,24,282,3822,14,51,5,7,17,6202,51,257,233,2,21058,18,381,2322,2295,6975,10152,13,385,12313,1,368,523,1321,988,2,155,82,9,106,67,5230,50,270,62,2,1054,4919,3,14,2,0,654,163,50,49,48,5095,526,22,956,178,43,21,8,32,6066,631,79,426,228,925,315,11783,403,6779,8,8374,280,2145,646,2904,88,24,17418,59,238,661
"Euiwang",918,283647,22732,432,24820,935,5035,320,369,308,19056,505,5715,87,93,11943,113,4670,9592,88,90049,701,2024,31,291,14270,3196,0,45,464,848,841,392,528,1432,21,2729,141,71,2020,124056,3199,10,118,522,2976,880,1190,623,101,95,2093,247,218,11,2565,277,23345,64149,986,259,106,250,3958,379,1359,56,5282,299,434,2620,315,798,16,109,0,1107,488,14454,780,2988,57683,215,147,3451,489,4102,53454,847799,627153,26,412,212,189863,330,2038,698,10615,1,1587,1232,44,8901,439,166,409,1830,19640,35627,184540
"Eumsung",389,90780,341625,5819,8775,157,17368,405,5545,2002,26095,6078,48128,16044,701,432790,247,47990,153887,481,59012,517,7969,8,16544,11849,18743,18,556,4705,7541,7789,1842,117,16666,66,1375,1633,566,17949,68919,1646,13,450,274685,21318,6446,9385,8380,4599,378,11367,62,1474,120,13347,11334,7864,128258,13974,2323,818,2728,1720,9109,11320,308,73626,2851,3636,1253,1488,11564,0,1004,15,7787,6049,107114,5901,11550,207022,1928,1015,42622,1067,1233,22374,1793222,220142,117,2321,2580,278993,1253,16034,6754,53702,0,11350,7185,15,189974,3261,1364,109,557,4234,211422,268743
"Gangneung",4769,22163,25451,553,802,57,738,75,613,321,7887,3618,3397,17681,106,32515,30,18359,36325,160,2159,4035,1478105,562,3927,18554,290767,1435,254,783,885,350,224,33,1756,15,417,583,94,1564,26343,489,592,189,43974,8511,2514,213,462,1470,219,3574,14,353,49,321500,3060,412,19490,2716,383,177,440,20469,1902,4855,111,6182,906,607,380,380,726,0,270,3696,1689,714,13944,35,1081526,5906,536,208,2400,268,185,1461,606634,79601,29,761,279,108293,358,586,1877,451766,283,772,525380,1011,66389,113,141,53,7449,384,57038,110316
"Gapyeong",0,1,0,0,0,0,1,0,0,0,0,0,3,249840,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,39,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,207835,0,0,1,0,4,0,0,0,0,0,0,0,856483,1,0,0,0,1,0,0,0,43,45428,0,0,0,2,0,0,0,2,0,0,1
"Geochang",3804,375,1710,88,4,128,36527,4,30228,16829,2377,6571,660,314,600,2532,11,471900,7320,2958,231,866,19,1403,50,390,289,3,333829,1268,2697,47634,163,556,586,76,283,86157,4081,6283,166,1,1129,420,668,35106,9428,12420,11191,109,5439,66393,13,57267,62580,214,232,4,1779,2204,201,2804,763,1020,503,4773,1047,239,51529,1020,57,1444,335,1,23297,1,602,53,1404,14327,208,1449,17731,20198,1803,264,1,211,18123,1380,1747,3153,9030,1142,9358,19588,5597,1340,0,954,111,128,366,8680,27,572,1755,334,494,1457
"Geumsan",41,3701,20024,555,533,15,21252,611,599,2611,49623,1497,27,845,107,115380,1820,12161,1130374,212,4614,13,361,11,441,4406,749,2,1139,63870,3152,9267,846,30,27,21,12108,611,2651,5201,2394,155,9,132,7051,7124,6197,1822,790,14337,2393,12770,14,14690,266,533,683,73,21287,6751,127,25873,708,96,3933,7899,2878,6442,14093,486,283,94179,59,0,2289,0,11449,7829,17244,1842,459,16536,8337,10658,1461,20214,714,4123,127989,17368,109,822,414,9627,8458,3252,4565,2397,0,577,367,1,2217,823,1564,74,8,14848,5121,14365
"Gimcheon",560,9151,19935,1987,603,25,53931,1072,27469,9866,52922,33600,10717,1638,3181,75069,1315,533359,247232,376,8458,39,214,257,997,6487,1054,6,2620,2786,91103,25280,886,82,9461,41,7797,45310,275,419687,2761,570,167,75,9475,10409,9124,26328,26988,3814,2163,63384,14,823,1818,535,951,53,26061,11372,100,160,914,81,3651,12631,102,4514,5790,6509,333,188,7902,1,1561,0,8891,25088,24944,33710,696,23777,4139,605,62406,8710,1101,10864,150811,27296,240,1381,77149,14689,1491,36495,4427,2009,0,14746,470,15,6609,20178,68427,101,100,11457,7092,20528
"Gimhae",6157,6160,7218,1870,55,3853,6963290,32,291345,4158536,22804,14753,7628,1328,21997,22042,162,510828,39622,14637,5092,2296,14,2510,655,6085,301,24,43829,9143,24261,9454042,2014,5427,5371,12672,1616,27199,7570,25233,2265,93,1195,3250,7281,177650,430292,106810,996,3375,204844,904959,37,40633,13306,560,921,33,10217,26596,1391,7284,7112,2491,8459,152930,7044,2103,615010,165952,125,15348,2792,0,21956,9,7467,2703,10669,253,599,11324,363097,87165,15304,2209,16,3293,93903,15433,2200,111611,24140,10073,6624,283907,66499,2289,0,716925,285,426,5928,6034,2401,3642,4351,4173,6170,11327
"Gimje",26,4344,8958,293,15081,23285,1604,3930,207,702,17146,264,4,236,22,12721,628,3267,44180,5472,5664,8,130,8,565,1321,248,0,202,941,1001,2194,11458,53528,6,2205,9852,258,151,1398,1689,13899,7,83,1519,408095,1019,542,240,2916,163,1943,12448,1513,107,199,202,4332,19819,61028,191,2884,45654,50,179378,94865,3044,1313,772,11,55810,2692,12,643,209,0,17657,1361,8118,563,193,10706,419,859,1466,3098,7546,5933,94813,16253,86,5051,119,3995,452,488,52461,790,0,2,135,1,877,412,244,17362,2,2502,1773,7490
"Gochang",190,5643,5204,30,14620,107496,5768,5059,679,2040,13153,126,1,35,19,729,875,6227,1942,18265,6521,5,23,48,1094,123,58,1,867,34,73,6575,63367,91148,0,13226,10037,638,419,151,2688,160610,24,1703,135,619066,6423,521,723,46,1707,5881,37238,787,320,29,34,5948,28358,366,1472,1178,75086,18,1028,1289,45,103,2341,6,281177,67,10,723,12647,0,155,16,6294,1183,28,15545,1981,504,101,3481,8511,6929,113121,20113,3833,31919,144,3680,1667,113,1351,136,0,3,20,5,131,352,12,84144,66,1861,200,5814
