"","Andong","Ansan","Anseong","Boeun","Boryeong","Buan","Busan","Buyeo","Changnyeong","Changwon","Cheonan","Chilgok","Choongju","Chuncheon","Chungdo","Chungju","Chungyang","Daegu","Daejeon","Damyang","Dangjin","Danyang","Donghae","Euisung","Euiwang","Eumsung","Gangneung","Gapyeong","Geochang","Geumsan","Gimcheon","Gimhae","Gimje","Gochang","Goesan","Gokseong","Gongju","Goryeong","Gosung","Gumi","Gunpo","Gunsan","Gunwi","Gwangjoo","Gwangju","Gwangyang","Gyeongju","Gyeongsan","Gyeryong","Hadong","Haman","Hampyeong","Hamyang","Hapcheon","Hoengsung","Hongcheon","Hongsung","Hwaseong","Iksan","Jangsu","Jangsung","Jecheon","Jeongeup","Jeongju","Jinan","Jincheon","Jinju","Milyang","Muan","Muju","Munkyeong","Naju","Namwon","Namyangju","Nonsan","Okchun","Osan","Pohang","Pyeongchang","Pyeongtaek","Sacheon","Sancheong","Sangju","Sejong","Seocheon","Seosan","Seoul","Siheung","Sunchang","Suncheon","Sungju","Suwon","Tongyeong","Ulsan","Wanju","Wonju","Yangpyeong","Yangsan","Yangyang","Yechun","Yeoju","Yeongchun","Yeongdong","Yeonggwang","Yeongju","Yesan","Yicheon","Yongin"
"Andong",147900,7252,971,10,15,21,34489,12,4930,2322,182,362197,38,20628,5860,166,19,1285763,1374,413,103,69844,483,65940,1050,414,4771,1518,1751,43,560,7334,13,63,13,22,28,7625,82,792,6704,30,54726,14368,5063,2563,40147,30782,54,673,22259,4,623,800,7353,7248,13,4272,169,201,125,77915,83,597,45,33,1918,15535,9,35,6,0,1282,3505,100,43,1577,14622,4487,422,1282,301,29,27,9,110,207059,20404,125,1170,250,25951,744,52777,555,63748,334,34416,3250,33946,8237,11113,108,63,147297,69,12115,19118
"Ansan",7928,380247,138909,3925,29230,9744,25147,3805,5162,4112,132221,5850,30989,1081,761,100099,1117,57114,88799,1309,148098,6242,14921,284,278309,86438,23691,1,876,5107,10175,11133,5199,6462,7661,1039,21271,3245,764,26634,660737,49094,236,2622,46522,2256,20446,5354,1318,1147,19948,3228,5812,92,18962,2151,19648,437845,8363,1478,4410,28364,3470,11143,232,31890,4485,3166,21306,3153,7351,288,805,3,9919,3872,78135,10176,17750,308125,2732,1399,34380,3267,13753,55225,7097393,6902737,72,8386,2795,912107,3752,21153,9796,70571,0,13354,10074,399,48520,8035,1693,4143,13904,19919,119722,730684
"Anseong",920,146744,625370,19516,47186,6612,29695,9767,7216,3505,888378,10350,1167,14724,1622,641527,3811,84679,477402,2695,193880,812,12370,46,27088,277156,27590,10,2375,23051,21071,11320,8973,4313,342,2038,90728,3248,2384,44110,61721,27031,41,308248,108649,5527,18083,7654,11416,3127,23416,1430,13640,376,24335,12819,33073,969650,53519,7271,9064,3921,25577,67100,1271,395732,13692,5264,16393,10808,320,45,2912,11,51669,16867,1057449,11219,22125,1000580,7755,5867,17532,10879,13188,86184,4247283,381835,87,17032,3060,396766,11268,24731,60385,90288,2,16382,12936,40,64374,7808,6308,3223,1686,16550,229376,710533
"Boeun",13,3600,20762,71160,223,43,5943,525,1743,1151,55940,2130,1373,738,348,808356,433,29252,126372,79,1169,6,284,4,572,5527,779,1,162,783,2898,3045,378,13,1036,36,1319,1051,63,18568,2076,690,5,8784,4119,306,5156,1701,1782,95,6415,17,172,75,423,469,48,18497,3098,229,333,76,1778,3445,25,10247,436,1534,168,289,1592,1,122,0,2280,386,16100,4560,443,16896,235,131,69975,1415,523,946,116408,16377,2,342,2705,9049,429,8281,2630,1973,0,4038,400,0,2062,2207,94,24,4,2022,4977,12677
"Boryeong",19,28301,47444,246,304711,31978,422,7852,40,39,1908,130,77,304,19,5087,592,2729,39122,2341,89549,73,528,1,20585,8099,878,1,5,557,672,158,19340,14264,12,1341,7641,31,13,1273,13473,444426,0,740,52975,2322,377,110,214,705,204,5942,19,7,382,323,185912,188588,22,7,3712,279,35,43,2,3720,95,68,28623,172,19,279,242,3,153,564,9147,441,543,178081,159,11,445,16984,291005,173242,499851,101366,123,11085,51,20023,130,698,23,1945,0,156,448,0,1149,138,194,6390,47,2569,2056,12017
"Buan",19,9171,6560,50,33953,32515,3920,10980,328,1646,14612,29,6,75,8,1850,1790,2714,5290,12132,10568,4,42,6,1725,242,83,0,426,51,140,4885,34656,97005,3,6728,12886,476,529,151,4028,121648,6,174,227692,4378,224,41,19,2078,4503,24534,709,195,33,37,15267,46778,15,170,18537,22,118,610,1,166,2512,4,79827,9,4,1065,6435,0,25,43,7257,261,49,22682,2566,554,291,8116,19478,13679,163783,32629,1214,24606,74,5125,2086,87,47,199,0,1,46,0,120,92,29,41630,9,2500,255,6822
"Busan",12405,18201,18957,2437,204,3421,10251855,253,237504,2598571,54956,29159,14245,2632,76758,44636,344,1606626,85942,8914,9423,3597,36,3349,2417,10953,386,77,41241,16967,38410,7282994,1855,4280,13116,12105,3553,27579,5272,43580,5182,268,1655,22028,161553,287215,1618243,61989,1585,183247,575980,53,35714,11023,1107,1416,72,37764,26900,6436,4530,4925,6514,120478,1937,4799,424214,478875,263,13955,6256,0,18146,83,6371,3304,18724,723,1016,27559,275359,43349,23510,2385,128,5992,179733,38122,1093,140178,26023,15265,39692,6455041,70338,4889,12,5770316,485,1018,5577,151683,4323,3190,8409,6638,18220,24520
"Buyeo",11,3556,9799,412,8709,9507,693,33453,129,36,27452,330,13,61,45,4618,13029,4334,96097,383,10171,5,55,8,314,307,110,1,4,659,813,131,3241,3560,4,222,62938,114,4,1546,1420,71006,2,231,11857,456,778,245,158,54,174,1264,22,2,62,59,938,17159,53,7,713,29,18,69,1,326,33,187,7475,213,23,91,18,0,117,1114,12257,886,58,10150,20,14,941,47662,75632,4840,96177,13156,22,1974,345,5713,21,1296,52,278,0,312,66,0,154,353,322,1877,3,13887,374,10806
"Changnyeong",4717,5963,6838,1173,23,282,236281,142,178664,163412,15378,10976,5851,857,13,17776,151,549718,28268,711,3159,1053,28,1852,358,4606,292,14,30194,899,27735,267963,191,389,3803,534,915,29563,1032,19928,1585,53,1340,5390,8436,22705,3380,5804,810,16339,910950,4,4002,10888,310,440,8,7842,1572,602,287,1259,551,22031,258,1372,71169,17,18,580,2356,0,2443,6,945,1598,6130,9698,319,6900,29414,3717,14122,872,46,1455,65298,11713,205,9904,33979,6659,6733,203,4401,1284,3,20,246,215,2590,7691,1867,179,3302,1866,5671,7235
"Changwon",3305,4761,5339,1193,33,1593,2323733,50,209473,3455190,17342,6617,4633,835,2,12908,104,193067,24700,4609,2721,904,22,1015,576,2745,359,10,25269,3217,15847,4496338,687,1939,3030,5126,835,15240,3688,14406,1911,91,698,4233,65888,115239,147,722,517,80184,765706,18,17832,7368,340,563,19,7754,9042,2301,2118,1404,2974,89773,952,1224,286560,26,114,4863,2254,1,8674,5,2695,1517,4873,684,397,7545,142526,27143,8946,1024,17,4322,54332,10400,496,62165,18217,5096,21375,201,23666,1459,0,110,346,311,1750,754,1207,1174,2398,2253,3696,6109
"Cheonan",212,130371,959187,47660,1955,13256,94242,25905,15779,13162,666388,24877,552,2857,3420,932123,10100,230142,1610656,5762,9439,549,4134,77,21882,34925,8892,9,3751,55444,49697,32635,15619,8866,154,4316,246567,10630,4352,144603,52152,58204,64,8349,218462,9221,80926,23908,12144,5338,72106,2289,13798,621,4287,3161,1186,937339,108302,7343,18209,2720,44964,142776,2752,12167,24343,16155,29054,22287,704,75,3987,7,114435,41555,959751,32681,7675,512531,14749,8539,72548,27666,17497,8103,3560802,458310,194,40281,10063,315216,22668,93813,127460,16877,1,49024,5604,11,10570,27901,12961,6194,509,3397,21298,707277
"Chilgok",387891,4819,8478,1510,100,32,76287,331,12316,5082,21171,60708,7236,8558,23227,20194,258,5939614,34599,416,2380,29807,601,146218,439,3230,3764,172,3206,1018,24405,16581,191,82,4363,20,1532,17192,69,344159,2151,236,116474,4881,5790,3033,152446,296958,1212,922,32609,3,977,1257,3092,4158,20,7158,3912,181,309,30275,506,5159,38,2038,2292,35417,35,61,4510,0,1456,143,2372,3157,7938,167012,4596,11278,1862,352,35442,1366,442,3765,51849,9121,158,1013,538,6516,945,150178,1023,15808,15,80970,2468,12736,3165,200411,5921,56,139128,3346,5669,5959
"Choongju",14,28824,1951,1106,78,5,29442,11,7993,4946,390,6800,98646,3932,1066,601,0,79325,1192,30,186,102,1733,4,4648,62006,5160,53,557,43,11052,11867,12,4,50904,6,33,4118,39,33024,26577,37,10,84150,458,1704,15407,9382,30,377,21497,3,129,225,2547,1943,70,13980,129,27,30,292,69,409,3,119,1710,4755,41,21,31156,0,264,18,58,34,3213,10362,2501,615,886,123,113972,19,15,142,685125,74968,9,654,4416,99049,625,27220,111,9263,2,14342,2693,4,51491,6969,688,7,67,35,79324,84817
"Chuncheon",38346,1065,14291,563,291,47,8159,50,769,500,1947,8999,3702,2141428,588,26468,20,66426,39030,110,449,21991,22853,2963,141,13806,43404,117924,275,1015,1494,1558,232,30,2177,62,212,652,77,2912,812,213,4438,1102,6336,735,8808,2150,1315,311,4567,18,436,85,675811,3388398,219,1193,2218,541,610,163337,1262,3567,34,5293,1166,3061,233,516,918,1,364,150387,1883,774,889,6929,31797,831,477,244,3662,263,105,551,2502844,1890,11,601,311,5018,945,12571,2263,799798,39176,8045,5699,4849,24481,2741,254,30,45020,160,29106,20460
"Chungdo",5,0,1,0,0,0,69636,0,0,0,3,7,1,0,1720,2,0,612476,6,0,0,0,0,1,0,0,0,0,0,0,2,16206,0,0,0,0,0,0,0,10,0,0,0,1,0,0,15139,108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,261256,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,25,3,0,0,0,1,0,39700,0,0,0,101714,0,0,0,784,0,0,2,0,1,2
